location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,mos_japanese_enc,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min,location_mosquito,location_chicken
Albury,2018-11-03,2018/2019,18,562,153,791,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,30.1,36.9,9.3,5.8,1,
Albury,2018-11-10,2018/2019,19,556,142,837,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,33.76,23.5,28.5,11.1,5.3,1,
Albury,2018-11-17,2018/2019,20,554,147,774,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,16.74,27.1,29.9,11.5,7.1,1,
Albury,2018-11-24,2018/2019,21,503,168,829,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,21.86,24,30.9,12.1,8.8,1,
Albury,2018-12-01,2018/2019,22,514,172,769,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0.36,25.7,29,11.4,8,1,
Albury,2018-12-08,2018/2019,23,533,159,791,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,2.34,29.8,35.6,13.5,8.3,1,
Albury,2018-12-15,2018/2019,24,551,161,792,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,37.91,31.1,37.2,18,13.5,1,
Albury,2018-12-22,2018/2019,25,542,172,782,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,3.4,30.1,33.8,16.7,14.6,1,
Albury,2018-12-29,2018/2019,26,554,183,799,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,34.9,42,15.3,12.2,1,
Albury,2019-01-05,2018/2019,27,541,135,794,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1.43,38,42.7,22,18.1,1,
Albury,2019-01-12,2018/2019,28,544,171,826,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,10.49,32.1,34.8,17,13,1,
Albury,2019-01-19,2018/2019,29,494,121,776,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0.25,41,44.6,23.5,19.4,1,
Albury,2019-01-26,2018/2019,30,579,145,864,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,2.97,39.6,44,22.2,17.2,1,
Albury,2019-02-02,2018/2019,31,525,151,806,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1.25,32.2,38.8,20.8,15.7,1,
Albury,2019-02-09,2018/2019,32,541,153,787,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,24.32,32.6,37.3,21,18.9,1,
Albury,2019-02-16,2018/2019,33,562,152,788,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,2.78,27,32.1,11.2,7.5,1,
Albury,2019-02-23,2018/2019,34,517,167,801,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0.33,32.4,36,14.6,9.4,1,
